Output from 2016 to 2017
Stock #6 Std = 0.186
Stock #17 Std = 0.247
Stock #489 Std = 0.320
Stock #669 Std = 0.277
Stock #883 Std = 0.367
Stock #1211 Std = 0.343
Stock #1299 Std = 0.234
Stock #2318 Std = 0.276
Stock #2388 Std = 0.246
Stock #6837 Std = 0.287

Covariance Matrix:
0.035	0.016	0.016	0.009	0.028	0.020	0.019	0.023	0.018	0.020	
0.016	0.061	0.030	0.006	0.040	0.034	0.025	0.039	0.031	0.032	
0.016	0.030	0.102	0.018	0.047	0.053	0.031	0.044	0.031	0.043	
0.009	0.006	0.018	0.077	0.017	0.014	0.016	0.011	0.012	0.018	
0.028	0.040	0.047	0.017	0.135	0.069	0.053	0.069	0.053	0.071	
0.020	0.034	0.053	0.014	0.069	0.117	0.040	0.065	0.041	0.060	
0.019	0.025	0.031	0.016	0.053	0.040	0.055	0.041	0.031	0.040	
0.023	0.039	0.044	0.011	0.069	0.065	0.041	0.076	0.042	0.062	
0.018	0.031	0.031	0.012	0.053	0.041	0.031	0.042	0.060	0.042	
0.020	0.032	0.043	0.018	0.071	0.060	0.040	0.062	0.042	0.082	

Coefficient Matrix:
1.000	0.355	0.271	0.176	0.410	0.308	0.426	0.442	0.402	0.382	
0.355	1.000	0.374	0.092	0.439	0.396	0.435	0.576	0.505	0.450	
0.271	0.374	1.000	0.202	0.402	0.484	0.415	0.494	0.393	0.468	
0.176	0.092	0.202	1.000	0.164	0.152	0.247	0.147	0.178	0.222	
0.410	0.439	0.402	0.164	1.000	0.547	0.621	0.678	0.585	0.673	
0.308	0.396	0.484	0.152	0.547	1.000	0.496	0.683	0.485	0.615	
0.426	0.435	0.415	0.247	0.621	0.496	1.000	0.636	0.534	0.597	
0.442	0.576	0.494	0.147	0.678	0.683	0.636	1.000	0.617	0.779	
0.402	0.505	0.393	0.178	0.585	0.485	0.534	0.617	1.000	0.596	
0.382	0.450	0.468	0.222	0.673	0.615	0.597	0.779	0.596	1.000	
